Date,Total Value,Total Value2,Total Value3,Total Value4,Total Value5,Total Value6,Total Value8,Total Value9
2016-09-21,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,0.0
2017-09-21,0.0,0.0,0.0,0.0,0.0,0.0,642600.0,0.0
2018-09-21,0.0,0.0,0.0,0.0,0.0,0.0,685200.0,0.0
2019-01-06,0.0,0.0,0.0,0.0,0.0,0.0,685200.0,500000.0
2019-09-21,0.0,0.0,0.0,0.0,0.0,0.0,727800.0,500000.0
2019-10-09,0.0,0.0,0.0,0.0,49999.99,0.0,727800.0,500000.0
2019-10-10,0.0,0.0,0.0,0.0,49824.49,0.0,727800.0,500000.0
2019-10-11,0.0,0.0,0.0,0.0,49838.76,0.0,727800.0,500000.0
2019-10-14,0.0,0.0,0.0,0.0,50389.0,0.0,727800.0,500000.0
2019-10-15,0.0,0.0,0.0,0.0,50675.21,0.0,727800.0,500000.0
2019-10-16,0.0,0.0,0.0,0.0,51106.45,0.0,727800.0,500000.0
2019-10-17,0.0,0.0,0.0,0.0,51437.6,0.0,727800.0,500000.0
2019-10-18,0.0,0.0,0.0,0.0,51941.17,0.0,727800.0,500000.0
2019-10-22,0.0,49999.99,0.0,0.0,51921.11,0.0,727800.0,500000.0
2019-10-23,0.0,50050.89,0.0,0.0,51794.59,0.0,727800.0,500000.0
2019-10-24,0.0,49977.8,0.0,50000.03,51935.0,50000.0,727800.0,500000.0
2019-10-25,0.0,49904.71,0.0,50005.44,51940.98,49848.18,727800.0,500000.0
2019-10-29,0.0,50683.9,0.0,50880.45,52612.91,50717.39,727800.0,500000.0
2019-10-30,0.0,51063.71,0.0,51128.6,52505.68,51054.75,727800.0,500000.0
2019-10-31,0.0,51138.1,0.0,51273.92,52581.09,51214.0,727800.0,500000.0
2019-11-01,0.0,51143.32,0.0,51330.45,52814.26,51186.72,727800.0,500000.0
2019-11-04,104148.45,51229.46,0.0,51549.06,52869.42,51102.87,727800.0,500000.0
2019-11-05,103850.7,50927.97,0.0,51445.2,52947.15,50738.72,727800.0,500000.0
2019-11-06,104073.55,51199.44,0.0,51655.65,53120.34,50903.43,727800.0,500000.0
2019-11-07,104192.29,51436.99,0.0,51854.44,53059.59,51207.55,727800.0,500000.0
2019-11-08,103633.33,51296.03,0.0,51405.29,52929.6,50674.22,727800.0,500000.0
2019-11-11,103819.65,102751.24,119999.99,102927.7,105833.16,101485.36,727800.0,500000.0
2019-11-13,103070.72,102368.12,119824.5,102297.58,105176.77,100951.98,727800.0,500000.0
2019-11-14,103258.87,102691.3,120280.78,102570.82,105725.37,100524.68,727800.0,500000.0
2019-11-15,103633.33,102813.8,120245.68,102772.16,105832.77,100595.07,727800.0,500000.0
2019-11-18,103779.46,102613.11,119649.01,102676.51,105991.94,100479.08,727800.0,500000.0
2019-11-19,104221.51,102824.22,119649.01,103156.7,106217.18,100192.56,727800.0,500000.0
2019-11-20,104670.87,103600.9,119754.31,103666.51,106399.14,100814.17,727800.0,500000.0
2019-11-21,104374.95,103176.07,119719.21,103400.84,106246.54,100419.59,727800.0,500000.0
2019-11-22,103984.05,102506.25,118982.15,102934.62,105536.45,100157.86,727800.0,500000.0
2019-11-25,104873.63,103499.26,120245.68,104310.99,106073.07,101529.97,727800.0,500000.0
2019-11-26,104595.98,103238.62,120035.09,103999.91,106166.18,100890.51,727800.0,500000.0
2019-11-27,104820.66,103819.83,120737.05,104544.17,106362.05,101622.17,727800.0,500000.0
2019-11-28,105454.5,104458.38,121088.03,104979.86,106914.13,102681.99,727800.0,500000.0
2019-11-29,105083.69,103858.93,120315.88,104158.97,106599.65,101900.76,727800.0,500000.0
